Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  0.00      0.84     0.00      854     0.00     0.00  __gnu_cxx::new_allocator<sf::Vertex>::deallocate(sf::Vertex*, unsigned long)
  0.00      0.84     0.00      846     0.00     0.00  std::_Vector_base<sf::Vertex, std::allocator<sf::Vertex> >::_M_get_Tp_allocator()
  0.00      0.84     0.00      844     0.00     0.00  std::allocator_traits<std::allocator<sf::Vertex> >::deallocate(std::allocator<sf::Vertex>&, sf::Vertex*, unsigned long)
  0.00      0.84     0.00      841     0.00     0.00  std::_Vector_base<sf::Vertex, std::allocator<sf::Vertex> >::~_Vector_base()
  0.00      0.84     0.00      810     0.00     0.00  void std::_Destroy_aux<true>::__destroy<sf::Vertex*>(sf::Vertex*, sf::Vertex*)
  0.00      0.84     0.00      806     0.00     0.00  std::_Vector_base<sf::Vertex, std::allocator<sf::Vertex> >::_M_deallocate(sf::Vertex*, unsigned long)
  0.00      0.84     0.00      704     0.00     0.00  std::_Vector_base<BLL::Point, std::allocator<BLL::Point> >::_M_get_Tp_allocator()
  0.00      0.84     0.00      688     0.00     0.00  BLL::Double::toString[abi:cxx11]()
  0.00      0.84     0.00      675     0.00     0.00  std::ios_base::precision(long)
  0.00      0.84     0.00      673     0.00     0.00  std::operator|(std::_Ios_Openmode, std::_Ios_Openmode)
  0.00      0.84     0.00      663     0.00     0.00  std::allocator<BLL::Point>::allocator(std::allocator<BLL::Point> const&)
  0.00      0.84     0.00      659     0.00     0.00  void std::swap<BLL::Point*>(BLL::Point*&, BLL::Point*&)
  0.00      0.84     0.00      654     0.00     0.00  __gnu_cxx::new_allocator<BLL::Point>::new_allocator(__gnu_cxx::new_allocator<BLL::Point> const&)
  0.00      0.84     0.00      638     0.00     0.01  sf::Text::~Text()
  0.00      0.84     0.00      618     0.00     0.00  __gnu_cxx::new_allocator<BLL::Point>::~new_allocator()
  0.00      0.84     0.00      605     0.00     0.00  std::allocator<BLL::Point>::~allocator()
  0.00      0.84     0.00      399     0.00     0.00  std::_Vector_base<BLL::Point, std::allocator<BLL::Point> >::_M_get_Tp_allocator() const
  0.00      0.84     0.00      356     0.00     0.00  __gnu_cxx::__normal_iterator<BLL::Point const*, std::vector<BLL::Point, std::allocator<BLL::Point> > >::__normal_iterator(BLL::Point const* const&)
  0.00      0.84     0.00      348     0.00     0.00  __gnu_cxx::__normal_iterator<BLL::Point*, std::vector<BLL::Point, std::allocator<BLL::Point> > >::__normal_iterator(BLL::Point* const&)
